"","id","f_analisis","var_rpta","segmento","valor_total_transferido","n_transacciones_exitosas","val_por_transaccion","disposit"
"323",323,201608,0,5,9820664.65,578,16990.7692906574,5
"324",324,201611,0,5,6385937838,538,11869772.9330855,6
"325",325,201609,0,5,3155000,61,51721.3114754098,6
"326",326,201604,0,1,13800,1609,8.57675574891237,5
"327",327,201606,0,5,2100,40,52.5,7
"328",328,201706,0,1,0,162,0,3
"329",329,201612,0,5,22206903.8,15,1480460.25333333,6
"330",330,201702,0,2,147791288.5,1221,121041.186322686,6
"331",331,201703,0,4,903812.9,3581,252.391203574421,5
"332",332,201705,0,5,8183000,529,15468.809073724,6
"333",333,201803,0,5,17563049.4,276,63634.2369565217,4
"334",334,201709,0,4,0,539,0,4
"335",335,201603,0,2,4815650,12,401304.166666667,4
"336",336,201707,0,0,3030250,258,11745.1550387597,4
"337",337,201711,0,5,8047043.9,449,17922.1467706013,7
"338",338,201803,0,0,0,814,0,3
"339",339,201602,0,4,0,189,0,3
"340",340,201609,0,1,0,56,0,2
"341",341,201610,0,1,0,2,0,3
"342",342,201602,0,1,0,117,0,3
"343",343,201806,0,5,0,6,0,5
"344",344,201705,0,0,54608619.15,50,1092172.383,4
"345",345,201610,0,0,0,1524,0,4
"346",346,201608,0,4,147175194.5,961,153147.965140479,6
"347",347,201710,0,4,0,579,0,2
"348",348,201711,0,2,201186069.45,98,2052919.07602041,4
"349",349,201704,0,2,9943600,1244,7993.24758842444,6
"350",350,201806,0,5,49081770.75,709,69226.7570521862,4
"351",351,201702,0,5,18795250,261,72012.4521072797,5
"352",352,201601,0,5,9005075,726,12403.6845730028,4
"353",353,201801,1,5,0,211,0,2
"354",354,201710,0,0,0,8,0,1
"355",355,201611,0,5,23932275.65,2,11966137.825,6
"356",356,201710,0,4,831550,549,1514.66302367942,5
"357",357,201702,0,5,0,1251,0,1
"358",358,201708,0,1,1881000,36,52250,4
"359",359,201607,0,5,38926716.7,103,377929.288349515,6
"360",360,201802,0,2,42142000,1243,33903.4593724859,3
"361",361,201709,0,0,2053022.75,1208,1699.52214403974,2
"362",362,201606,0,5,0,9,0,1
"363",363,201612,0,5,604950,236,2563.34745762712,4
"364",364,201609,0,4,0,248,0,5
"365",365,201803,0,5,2508751.25,55,45613.6590909091,4
"366",366,201803,0,0,0,408,0,2
"367",367,201807,0,4,12697345.8,14,906953.271428571,3
"368",368,201804,1,5,873000,828,1054.34782608696,6
"369",369,201711,0,5,35996200,658,54705.4711246201,5
"370",370,201702,0,5,19347222.1675,1314,14723.9133694825,3
"371",371,201711,0,0,0,166,0,4
"372",372,201706,0,4,0,159,0,3
"373",373,201709,0,4,17430205.6,237,73545.1713080169,7
"374",374,201708,0,5,0,3205,0,2
"375",375,201709,0,4,0,18,0,2
"376",376,201807,0,5,0,320,0,1
"377",377,201707,0,4,0,0,0,6
"378",378,201801,0,0,0,73,0,2
"379",379,201601,0,4,866337.3,20,43316.865,3
"380",380,201607,0,4,16134600,372,43372.5806451613,6
"381",381,201710,0,5,23093085.35,842,27426.4671615202,7
"382",382,201609,0,4,0,1423,0,4
"383",383,201612,0,4,210000,103,2038.83495145631,4
"384",384,201608,0,2,43555145.25,70,622216.360714286,4
"385",385,201709,0,4,76430484.2,1855,41202.4173584906,4
"386",386,201807,0,0,0,291,0,2
"387",387,201605,0,5,0,407,0,1
"388",388,201711,0,5,0,8,0,5
"389",389,201604,0,2,27038252.35,206,131253.652184466,5
"390",390,201801,0,4,154850,627,246.969696969697,5
"391",391,201711,0,5,0,427,0,2
"392",392,201709,1,5,3950000,2,1975000,1
"393",393,201803,0,4,3637230,85,42790.9411764706,5
"394",394,201610,0,0,11850646.5,137,86501.0693430657,4
"395",395,201604,0,5,0,49,0,1
"396",396,201707,0,0,60737686.6145,87,698134.328902299,3
"397",397,201707,0,5,0,352,0,4
"398",398,201705,0,0,0,63,0,4
"399",399,201704,0,5,0,2,0,3
"400",400,201807,0,3,43655332.5,221,197535.441176471,3
"401",401,201612,0,0,0,3485,0,1
"402",402,201804,0,0,0,117,0,3
"403",403,201801,1,1,0,170,0,2
"404",404,201707,0,5,0,132,0,5
"405",405,201709,0,4,4287700,37,115883.783783784,6
"406",406,201707,0,4,3912640,824,4748.34951456311,4
"407",407,201807,0,5,1765000,762,2316.27296587927,4
"408",408,201701,0,0,4707130,390,12069.5641025641,5
"409",409,201807,0,5,0,591,0,5
"410",410,201611,0,0,1138907.4,44,25884.2590909091,7
"411",411,201708,0,5,0,782,0,3
"412",412,201806,0,1,0,43,0,2
"413",413,201703,0,5,0,23,0,4
"414",414,201803,1,5,51898564.75,4,12974641.1875,5
"415",415,201801,0,1,0,1509,0,4
"416",416,201707,0,5,19459085.35,607,32057.8012355848,6
"417",417,201609,0,0,0,947,0,2
"418",418,201710,0,4,380120.65,933,407.417631296892,6
"419",419,201704,0,0,10388000,264,39348.4848484848,4
"420",420,201805,0,5,17459000,326,53555.2147239264,3
"421",421,201803,0,4,1885435,283,6662.31448763251,2
"422",422,201711,0,5,0,310,0,1
"423",423,201803,0,5,0,2,0,2
"424",424,201709,1,0,11005554,24,458564.75,2
"425",425,201806,0,5,2227490,9,247498.888888889,5
"426",426,201708,0,5,0,217,0,2
"427",427,201710,0,4,0,73,0,2
"428",428,201603,0,1,0,229,0,2
"429",429,201702,0,5,30645109,2,15322554.5,5
"430",430,201709,0,0,0,464,0,1
"431",431,201712,0,1,0,40,0,3
"432",432,201801,0,4,84693.45,97,873.128350515464,5
"433",433,201711,0,0,38250,584,65.4965753424657,1
"434",434,201711,0,5,10088931.85,25,403557.274,3
"435",435,201702,0,2,7790838.6,663,11750.8877828054,8
"436",436,201806,0,4,21527980.45,1608,13388.0475435323,4
"437",437,201702,0,5,968400,748,1294.65240641711,1
"438",438,201606,0,1,0,481,0,2
"439",439,201607,0,5,0,2,0,2
"440",440,201705,0,5,0,0,0,4
"441",441,201712,0,5,0,321,0,3
"442",442,201609,0,0,0,10,0,4
"443",443,201709,0,1,23281266.2,11,2116478.74545455,2
"444",444,201701,0,5,6574750,3,2191583.33333333,4
"445",445,201803,0,4,0,422,0,3
"446",446,201704,0,4,11341500,359,31591.922005571,1
"447",447,201601,0,5,0,372,0,1
"448",448,201710,0,0,0,105,0,3
"449",449,201802,0,5,10200,307,33.2247557003257,8
"450",450,201805,0,5,0,150,0,2
"451",451,201803,0,5,0,348,0,2
"452",452,201707,0,4,2685.9,58,46.3086206896552,3
"453",453,201805,0,3,59302257.85,156,380142.678525641,3
"454",454,201710,0,0,363855.7,2665,136.531219512195,4
"455",455,201801,0,4,63960538.75,49,1305317.11734694,7
"456",456,201606,0,5,0,1164,0,4
"457",457,201703,0,5,1216491500,339,3588470.50147493,3
"458",458,201803,0,2,222439940.3,946,235137.357610994,3
"459",459,201702,0,4,10276647.7,9716,1057.70355084397,6
"460",460,201701,0,5,316858896.15,974,325317.141837782,6
"461",461,201703,0,4,24752579.65,1679,14742.4536331149,2
"462",462,201611,1,5,0,122,0,4
"463",463,201711,0,5,0,15,0,3
"464",464,201703,0,5,55750,43,1296.51162790698,1
"465",465,201802,0,5,25386997.654,22,1153954.43881818,7
"466",466,201702,0,0,54280810,1799,30172.7682045581,5
"467",467,201710,0,4,3208170.3,1975,1624.39002531646,7
"468",468,201610,0,1,2394409000,1189,2013800.67283431,5
"469",469,201606,0,5,0,136,0,1
"470",470,201804,0,4,9121080,32,285033.75,5
"471",471,201703,0,4,246317.5,556,443.017086330935,6
"472",472,201703,0,5,0,268,0,1
"473",473,201707,0,2,319201926.25,89,3586538.49719101,6
"474",474,201611,0,3,208500,3189,65.3809971777987,5
"475",475,201802,0,5,0,99,0,6
"476",476,201710,0,5,0,55,0,1
"477",477,201711,0,4,0,0,0,2
"478",478,201609,0,0,0,283,0,5
"479",479,201802,0,4,4999354,291,17179.910652921,2
"480",480,201703,0,5,0,14,0,1
"481",481,201803,0,4,0,675,0,4
"482",482,201703,1,5,0,20,0,1
"483",483,201807,0,4,107743163.05,58,1857640.74224138,1
"484",484,201804,0,0,0,1385,0,2
"485",485,201805,0,5,0,15,0,1
"486",486,201705,0,5,0,97,0,1
"487",487,201611,0,0,13980953.3,3,4660317.76666667,6
"488",488,201704,0,5,0,2171,0,2
"489",489,201707,0,5,29867050,2,14933525,5
"490",490,201610,0,0,0,1143,0,1
"491",491,201806,0,4,17040020,0,0,4
"492",492,201804,0,4,11819741.15,324,36480.6825617284,5
"493",493,201802,0,5,22548000,1544,14603.6269430052,4
"494",494,201610,0,1,7566950,2189,3456.80676107812,3
"495",495,201712,1,0,17335123.05,627,27647.7241626794,5
"496",496,201703,0,4,5457150,112,48724.5535714286,3
"497",497,201602,0,2,8631363.6,403,21417.7756823821,5
"498",498,201805,0,5,253265180.971,739,342713.37073207,8
"499",499,201711,0,4,0,1199,0,2
"500",500,201610,0,5,0,109,0,4
"501",501,201708,0,4,0,78,0,1
"502",502,201703,0,0,0,81,0,4
"503",503,201708,0,4,0,73,0,2
"504",504,201709,0,0,0,5,0,1
"505",505,201804,0,5,0,148,0,4
"506",506,201707,0,0,8252700,208,39676.4423076923,1
"507",507,201708,0,4,34790900,1268,27437.61829653,2
"508",508,201610,0,4,0,800,0,3
"509",509,201803,0,5,0,8,0,3
"510",510,201704,0,5,12095,29,417.068965517241,4
"511",511,201611,1,5,0,59,0,1
"512",512,201711,1,5,0,0,0,2
"513",513,201610,1,5,6929150,4,1732287.5,5
"514",514,201804,0,5,10925,767,14.2438070404172,4
"515",515,201708,0,5,15511969.8,367,42266.9476839237,6
"516",516,201703,0,4,1070350,598,1789.88294314381,7
"517",517,201702,0,5,0,629,0,2
"518",518,201701,0,0,0,104,0,5
"519",519,201601,0,1,2169798.2,70,30997.1171428571,4
"520",520,201802,0,5,0,346,0,1
"521",521,201612,0,3,597500,0,0,2
"522",522,201706,0,4,0,785,0,2
"523",523,201704,0,1,0,15,0,2
"524",524,201706,0,4,79159150,6,13193191.6666667,2
"525",525,201802,1,1,9440750,287,32894.5993031359,7
"526",526,201802,0,1,0,3287,0,1
"527",527,201602,1,5,2811250,0,0,4
"528",528,201602,0,2,26160350,455,57495.2747252747,5
"529",529,201610,1,1,0,186,0,1
"530",530,201706,0,5,180801518.6,8,22600189.825,5
"531",531,201706,0,4,24627275,3627,6789.98483595258,4
"532",532,201802,0,0,2860260,796,3593.29145728643,5
"533",533,201611,0,4,0,83,0,2
"534",534,201610,0,2,0,227,0,4
"535",535,201709,0,1,0,24,0,1
"536",536,201603,0,5,0,10,0,1
"537",537,201706,0,1,0,42,0,1
"538",538,201804,1,4,6370023.6295,4,1592505.907375,5
"539",539,201606,0,0,0,657,0,3
"540",540,201610,0,5,18142750,11,1649340.90909091,6
"541",541,201703,0,4,656500,325,2020,5
"542",542,201706,0,4,0,252,0,2
"543",543,201710,0,5,0,255,0,2
"544",544,201610,0,5,5665800,0,0,4
"545",545,201704,0,4,0,861,0,4
"546",546,201712,0,1,0,346,0,4
"547",547,201802,0,4,0,10,0,1
"548",548,201804,0,4,5762409.35,20,288120.4675,4
"549",549,201601,0,5,4856500,829,5858.26296743064,7
"550",550,201706,0,4,38822081.95,365,106361.868356164,5
"551",551,201702,0,5,66132824.95,993,66599.0180765358,6
"552",552,201801,0,0,0,1390,0,2
"553",553,201709,0,5,895368.35,7,127909.764285714,2
"554",554,201601,0,5,5725150,9,636127.777777778,4
"555",555,201604,0,5,0,778,0,4
"556",556,201606,0,4,31467717.35,89,353569.857865169,7
"557",557,201712,0,0,0,969,0,2
"558",558,201711,0,5,58887261.95,3,19629087.3166667,3
"559",559,201805,0,2,51752850.05,1142,45317.7320928196,3
"560",560,201604,0,5,0,1258,0,1
"561",561,201708,0,5,4205140,48,87607.0833333333,3
"562",562,201612,0,5,0,974,0,1
"563",563,201602,0,3,36134780,75,481797.066666667,5
"564",564,201711,0,5,1870725,986,1897.28701825558,2
"565",565,201805,0,0,0,958,0,3
"566",566,201701,0,4,1695000,374,4532.08556149733,5
"567",567,201709,0,3,0,369,0,3
"568",568,201604,0,0,0,144,0,1
"569",569,201807,0,0,0,18,0,3
