"","id","valor_total_transferido","n_transacciones_exitosas","val_por_transaccion","disposit"
"101",76637,0,157,0,1
"102",76638,0,271,0,1
"103",76639,0,138,0,4
"104",76640,13121014.3,22,596409.740909091,4
"105",76641,84629697.15,732,115614.340368852,6
"106",76642,0,2133,0,5
"107",76643,415253150.9,36,11534809.7472222,4
"108",76644,1900000,5452,348.495964783566,2
"109",76645,317546.25,88,3608.48011363636,5
"110",76646,5064200,226,22407.9646017699,7
"111",76647,255819298.3795,296,864254.38641723,7
"112",76648,454627.8,2116,214.852457466919,5
"113",76649,0,40,0,1
"114",76650,0,286,0,4
"115",76651,0,255,0,1
"116",76652,0,0,0,5
"117",76653,0,15,0,3
"118",76654,4820119,38,126845.236842105,7
"119",76655,0,477,0,2
"120",76656,589394.25,19,31020.75,4
"121",76657,0,109,0,3
"122",76658,647500,172,3764.53488372093,6
"123",76659,0,960,0,3
"124",76660,0,674,0,3
"125",76661,0,54,0,1
"126",76662,0,10,0,1
"127",76663,8335142.85,326,25567.9228527607,4
"128",76664,1219315750,572,2131670.89160839,8
"129",76665,0,1080,0,3
"130",76666,18432074.1,2,9216037.05,5
"131",76667,131165454.75,68,1928903.74632353,4
"132",76668,0,409,0,4
"133",76669,0,36,0,2
"134",76670,56428.5,14,4030.60714285714,4
"135",76671,4994750,84,59461.3095238095,3
"136",76672,0,313,0,1
"137",76673,9986600,8,1248325,6
"138",76674,0,646,0,1
"139",76675,0,25,0,1
"140",76676,219242480.35,12,18270206.6958333,6
"141",76677,18600250,1412,13172.9815864023,7
"142",76678,0,1830,0,6
"143",76679,0,51,0,4
"144",76680,0,372,0,4
"145",76681,0,1024,0,1
"146",76682,0,53,0,3
"147",76683,0,26,0,1
"148",76684,0,1,0,3
"149",76685,15650,2,7825,3
"150",76686,0,13,0,2
"151",76687,1727348235.85,1,1727348235.85,3
"152",76688,6300000,2160,2916.66666666667,6
"153",76689,826757.45,471,1755.32367303609,4
"154",76690,0,27,0,1
"155",76691,97455331.893,119,818952.36884874,6
"156",76692,0,6342,0,1
"157",76693,0,10,0,1
"158",76694,0,281,0,3
"159",76695,0,147,0,2
"160",76696,156840335.2,0,0,6
"161",76697,17757973.95,133,133518.60112782,2
"162",76698,7717865.55,28,275638.055357143,3
"163",76699,72404825.4,10,7240482.54,6
"164",76700,211290,1680,125.767857142857,6
"165",76701,72797043.4,94,774436.631914894,2
"166",76702,3088761.55,33,93598.8348484848,5
"167",76703,18590590.45,1109,16763.3818304779,5
"168",76704,0,598,0,4
"169",76705,380000,270,1407.40740740741,5
"170",76706,25426935.7,407,62474.0434889435,5
"171",76707,5442375,1502,3623.41877496671,5
"172",76708,0,594,0,3
"173",76709,1681150,7,240164.285714286,4
"174",76710,4122275,271,15211.3468634686,3
"175",76711,26073052.95,789,33045.694486692,3
"176",76712,2084600,288,7238.19444444444,2
"177",76713,20981780,1956,10726.881390593,6
"178",76714,3089828.35,1124,2748.95760676157,5
"179",76715,25949500,305,85080.3278688525,6
"180",76716,3135224.2,841,3727.97170035672,3
"181",76717,4987.5,234,21.3141025641026,6
"182",76718,0,157,0,1
"183",76719,12324700.6,319,38635.4250783699,3
"184",76720,0,1467,0,4
"185",76721,0,198,0,3
"186",76722,1540491,39,39499.7692307692,6
"187",76723,0,655,0,1
"188",76724,0,2,0,1
"189",76725,10677150165.95,0,0,6
"190",76726,168226,1784,94.2970852017937,2
"191",76727,714194610.85,138,5175323.26702899,6
"192",76728,192503446.6,3604,53413.8309100999,4
"193",76729,0,157,0,2
"194",76730,1270343.8,19,66860.2,4
"195",76731,55035600,43,1279897.6744186,5
"196",76732,44326550,2128,20830.1456766917,4
"197",76733,0,2188,0,6
"198",76734,0,58,0,2
"199",76735,0,55,0,1
"200",76736,3910375,14,279312.5,1
"201",76737,0,268,0,4
"202",76738,137374.75,39,3522.42948717949,2
"203",76739,2557565.95,3,852521.983333333,8
"204",76740,37152150,152,244422.039473684,4
"205",76741,0,1356,0,3
"206",76742,12000500,13,923115.384615385,4
"207",76743,4189218.65,2073,2020.84835986493,2
"208",76744,0,507,0,5
"209",76745,17040860,21,811469.523809524,3
"210",76746,30713604.75,4745,6472.83556375132,5
"211",76747,0,808,0,2
"212",76748,68228350,5,13645670,7
"213",76749,201875,1288,156.735248447205,6
"214",76750,38141097.7,90,423789.974444444,3
"215",76751,155000,1664,93.1490384615385,4
"216",76752,0,227,0,4
"217",76753,0,114,0,6
"218",76754,0,1623,0,3
"219",76755,9392051.26,561,16741.6243493761,5
"220",76756,241496877.258,3691,65428.5768783527,6
"221",76757,10454038.1,1803,5798.13538546866,5
"222",76758,4152.3,849,4.89081272084806,2
"223",76759,0,8,0,3
"224",76760,34861317.85,10,3486131.785,5
"225",76761,0,851,0,2
"226",76762,1447196.6,9,160799.622222222,5
"227",76763,1812081.3,550,3294.69327272727,2
"228",76764,25456119.9,21,1212196.18571429,6
"229",76765,13626431,550,24775.3290909091,6
"230",76766,8975618.2,368,24390.2668478261,4
"231",76767,0,443,0,4
"232",76768,5314726.3,99,53684.104040404,6
"233",76769,0,97,0,3
"234",76770,0,8,0,2
"235",76771,0,2,0,2
"236",76772,5165500,147,35139.4557823129,7
"237",76773,301000,862,349.187935034803,2
"238",76774,0,108,0,1
"239",76775,0,0,0,1
"240",76776,367500,19,19342.1052631579,1
"241",76777,25177354.13,306,82278.9350653595,5
"242",76778,0,1921,0,2
"243",76779,0,4,0,3
"244",76780,0,61,0,4
"245",76781,0,17,0,6
"246",76782,0,324,0,4
"247",76783,245150,106,2312.7358490566,3
"248",76784,0,717,0,2
"249",76785,15282000,7,2183142.85714286,6
"250",76786,2946251.9195,344,8564.6858125,4
"251",76787,0,8,0,6
"252",76788,1481800,49,30240.8163265306,8
"253",76789,3687500,644,5725.93167701863,5
"254",76790,97583324.2305,767,127227.280613429,6
"255",76791,0,2050,0,1
"256",76792,22162520.117,1,22162520.117,5
"257",76793,105022975.3,78,1346448.40128205,3
"258",76794,0,2513,0,3
"259",76795,226416482.85,2,113208241.425,4
"260",76796,299250,3325,90,4
"261",76797,21353700,136,157012.5,5
"262",76798,0,1270,0,1
"263",76799,0,0,0,3
"264",76800,0,313,0,1
"265",76801,0,7,0,1
"266",76802,23465175.6,542,43293.6819188192,3
"267",76803,0,938,0,3
"268",76804,17389758.9,327,53179.6908256881,8
"269",76805,3051200,4038,755.621594848935,4
"270",76806,41841496.15,564,74187.0499113475,9
"271",76807,0,1002,0,1
"272",76808,36160886.3,1457,24818.7277282086,3
"273",76809,0,48,0,1
"274",76810,27443761.55,797,34433.8287954831,2
"275",76811,0,365,0,1
"276",76812,1999655.5,0,0,5
"277",76813,0,207,0,1
"278",76814,0,2,0,4
"279",76815,0,188,0,5
"280",76816,114151329.25,173,659834.273121387,4
"281",76817,49500,1140,43.4210526315789,6
"282",76818,0,276,0,1
"283",76819,5000571.05,675,7408.25340740741,8
"284",76820,0,787,0,1
"285",76821,0,1,0,2
"286",76822,2232490.3,23,97064.7956521739,5
"287",76823,89250,799,111.702127659574,6
"288",76824,2539216.65,108,23511.2652777778,6
"289",76825,2748438.85,893,3077.75907054871,5
"290",76826,2458971.75,143,17195.6066433566,5
"291",76827,6408167,645,9935.14263565891,4
"292",76828,0,289,0,3
"293",76829,6208050,5,1241610,4
"294",76830,19036413.95,396,48071.7523989899,6
"295",76831,0,1146,0,5
"296",76832,33231,396,83.9166666666667,4
"297",76833,190150,47,4045.74468085106,4
"298",76834,28815000,228,126381.578947368,6
"299",76835,0,623,0,3
"300",76836,1472500,77,19123.3766233766,6
"301",76837,2380000,177,13446.3276836158,5
"302",76838,49193537.55,348,141360.740086207,5
"303",76839,0,199,0,3
"304",76840,0,4,0,1
"305",76841,17383060,0,0,4
"306",76842,0,489,0,4
"307",76843,23870300,402,59378.855721393,5
"308",76844,0,1637,0,2
"309",76845,5331400,1,5331400,3
"310",76846,3165747.65,354,8942.78997175141,2
"311",76847,3675,511,7.19178082191781,5
"312",76848,0,256,0,3
"313",76849,2881762.35,15,192117.49,5
"314",76850,0,237,0,2
"315",76851,9992750,2,4996375,5
"316",76852,125574912.55,315,398650.516031746,6
"317",76853,0,1515,0,3
"318",76854,163650,10,16365,1
"319",76855,0,195,0,1
"320",76856,0,42,0,3
"321",76857,16017130,6,2669521.66666667,6
"322",76858,0,669,0,1
"323",76859,409414.7,121,3383.59256198347,5
"324",76860,0,261,0,2
"325",76861,0,344,0,2
"326",76862,4987500,2,2493750,5
"327",76863,33750000,185,182432.432432432,6
"328",76864,0,147,0,1
"329",76865,2784000,0,0,1
"330",76866,18936750,304,62291.9407894737,5
"331",76867,0,514,0,4
"332",76868,0,20,0,1
"333",76869,4865962.55,48,101374.219791667,6
"334",76870,18236780.75,110,165788.915909091,2
"335",76871,0,64,0,3
"336",76872,0,7,0,3
"337",76873,302141171.35,3,100713723.783333,4
"338",76874,0,284,0,3
"339",76875,0,84,0,5
"340",76876,225400,17,13258.8235294118,2
"341",76877,500996.664,191,2623.01918324607,5
"342",76878,17543420,402,43640.3482587065,6
"343",76879,0,962,0,1
"344",76880,4405150,80,55064.375,4
"345",76881,0,164,0,4
"346",76882,0,173,0,2
"347",76883,16289989.105,200,81449.945525,3
"348",76884,0,640,0,3
"349",76885,7974174.2,291,27402.6604810997,4
"350",76886,8314215,413,20131.2711864407,5
"351",76887,0,1736,0,1
"352",76888,13043750,2,6521875,3
"353",76889,116446,1326,87.8174962292609,7
"354",76890,0,1030,0,2
"355",76891,0,31,0,1
"356",76892,0,176,0,4
"357",76893,0,66,0,3
"358",76894,0,1,0,1
"359",76895,0,539,0,2
"360",76896,0,2,0,3
"361",76897,44437817.25,297,149622.28030303,4
"362",76898,2201951.8,617,3568.80356564019,4
"363",76899,0,8,0,2
"364",76900,0,5,0,4
"365",76901,0,19,0,1
"366",76902,0,199,0,2
"367",76903,1621485,4,405371.25,5
"368",76904,7660500,505,15169.3069306931,6
"369",76905,5715750,652,8766.48773006135,1
"370",76906,20726240,525,39478.5523809524,3
"371",76907,5040840.2,657,7672.51171993912,3
"372",76908,102170957.9,806,126762.975062035,6
"373",76909,0,1279,0,4
"374",76910,1486350,302,4921.68874172185,2
"375",76911,29796527.7,171,174248.7,2
"376",76912,324250,1102,294.237749546279,5
"377",76913,0,523,0,3
"378",76914,91550,12,7629.16666666667,5
"379",76915,0,96,0,1
"380",76916,0,3,0,2
"381",76917,0,2,0,3
"382",76918,446867.65,5,89373.53,4
"383",76919,0,722,0,1
"384",76920,10478963,4,2619740.75,7
"385",76921,0,1297,0,2
"386",76922,0,2,0,2
"387",76923,23013635.05,16,1438352.190625,4
"388",76924,0,775,0,1
"389",76925,24073091.785,2,12036545.8925,5
"390",76926,24259747.5,555,43711.2567567568,6
"391",76927,0,286,0,1
"392",76928,0,7,0,1
"393",76929,0,9,0,1
"394",76930,2050650,25,82026,5
"395",76931,0,506,0,2
"396",76932,2201250,2,1100625,4
"397",76933,2440950,208,11735.3365384615,6
"398",76934,0,226,0,2
"399",76935,9779000,2,4889500,5
"400",76936,0,157,0,2
"401",76937,27550,10,2755,1
"402",76938,75677191.85,12,6306432.65416667,2
"403",76939,0,563,0,2
"404",76940,525000,22,23863.6363636364,4
"405",76941,0,348,0,1
"406",76942,0,224,0,4
"407",76943,33013984.3,13,2539537.25384615,4
"408",76944,0,930,0,4
"409",76945,0,6,0,1
"410",76946,65347263.25,2,32673631.625,4
"411",76947,0,1166,0,1
"412",76948,0,279,0,1
"413",76949,14765033.2,0,0,4
"414",76950,0,117,0,3
"415",76951,452928,18,25162.6666666667,5
"416",76952,0,225,0,3
"417",76953,241783215.4,66,3663382.05151515,5
"418",76954,3170421,3466,914.720427005193,7
"419",76955,22791250,417,54655.2757793765,4
"420",76956,0,507,0,1
"421",76957,0,52,0,3
"422",76958,0,49,0,2
"423",76959,4828.85,44,109.746590909091,5
"424",76960,0,457,0,2
"425",76961,89999750.8,2,44999875.4,4
"426",76962,0,908,0,3
"427",76963,4528800,8,566100,4
"428",76964,0,322,0,3
"429",76965,92416356.3,15,6161090.42,4
"430",76966,122459924.55,2276,53804.8877636204,6
"431",76967,18732875,2615,7163.62332695985,2
"432",76968,100997777.5,399,253127.261904762,5
"433",76969,0,2100,0,3
"434",76970,0,34,0,1
"435",76971,0,313,0,1
"436",76972,0,2,0,2
"437",76973,89613900,3,29871300,6
"438",76974,11591700,1247,9295.66960705694,4
"439",76975,8715170,825,10563.8424242424,5
"440",76976,6540050,1145,5711.83406113537,2
"441",76977,10291462.5,637,16156.1420722135,3
"442",76978,1237914122.75,1395,887393.636379928,3
"443",76979,40860677.95,6266,6521.01467443345,5
"444",76980,0,715,0,1
"445",76981,67445601.55,1,67445601.55,4
"446",76982,0,1634,0,6
"447",76983,126000,109,1155.96330275229,2
"448",76984,0,13,0,1
"449",76985,0,1,0,2
"450",76986,1936180,5,387236,6
"451",76987,6859490,1192,5754.60570469799,6
"452",76988,0,632,0,3
"453",76989,45596434.9,16,2849777.18125,4
"454",76990,0,1740,0,1
"455",76991,2475585.2,11,225053.2,5
"456",76992,36876792.2,1929,19117.0514256091,7
"457",76993,1945009.5,1722,1129.50609756098,4
"458",76994,66500,22,3022.72727272727,4
"459",76995,1757.5,95,18.5,3
"460",76996,0,386,0,1
"461",76997,0,2,0,2
"462",76998,86002026.9,6,14333671.15,3
"463",76999,294500,1669,176.452965847813,5
"464",77000,0,175,0,2
"465",77001,0,2285,0,6
"466",77002,460491,359,1282.70473537604,5
"467",77003,1309500,236,5548.72881355932,5
"468",77004,0,799,0,2
"469",77005,78829247.3,4,19707311.825,5
"470",77006,262500,3800,69.0789473684211,4
"471",77007,0,108,0,1
"472",77008,22303500,0,0,4
"473",77009,0,1381,0,1
"474",77010,0,196,0,2
"475",77011,0,0,0,4
"476",77012,0,787,0,1
"477",77013,5376755.95,26,206798.305769231,6
"478",77014,9759050,780,12511.6025641026,6
"479",77015,0,397,0,3
"480",77016,135345592.2,19,7123452.22105263,3
"481",77017,0,2658,0,1
"482",77018,5935000,40,148375,6
"483",77019,0,116,0,1
"484",77020,90287843.7,2,45143921.85,3
"485",77021,50690638.1,486,104301.724485597,2
"486",77022,0,42,0,2
"487",77023,39055.45,15,2603.69666666667,4
"488",77024,27962440.45,484,57773.6372933884,5
"489",77025,27886750,323,86336.6873065016,1
"490",77026,0,218,0,4
"491",77027,409935083.95,179,2290140.13379888,3
"492",77028,0,54,0,2
"493",77029,2807000,107,26233.6448598131,4
"494",77030,0,848,0,2
"495",77031,55678969.5,729,76377.1872427983,2
"496",77032,0,1183,0,2
"497",77033,159697647.35,111,1438717.54369369,2
"498",77034,0,568,0,3
"499",77035,12670850,7,1810121.42857143,5
"500",77036,84349748.6,140,602498.204285714,4
"501",77037,10212053.5385,201,50806.2365099502,5
"502",77038,0,344,0,1
"503",77039,166084346.5,0,0,4
"504",77040,17879900,2301,7770.49109083007,3
"505",77041,90180302.3,404,223218.570049505,5
"506",77042,15975438,2049,7796.69985358712,2
"507",77043,0,1039,0,5
"508",77044,13549300,61,222119.672131148,5
"509",77045,2026500,845,2398.22485207101,3
"510",77046,224481067.3,259,866722.267567568,5
"511",77047,29678945,4294,6911.72449930135,5
"512",77048,1121.95,1002,1.11971057884232,6
"513",77049,0,260,0,3
"514",77050,0,84,0,3
"515",77051,0,4,0,2
"516",77052,0,7,0,3
"517",77053,1092.5,497,2.19818913480885,4
"518",77054,211076000,12,17589666.6666667,2
"519",77055,0,215,0,3
"520",77056,0,97,0,5
"521",77057,0,7,0,3
"522",77058,0,3,0,3
"523",77059,0,351,0,2
"524",77060,0,105,0,1
"525",77061,4541016.1,48,94604.5020833333,3
"526",77062,4326100.25,44,98320.4602272727,5
"527",77063,410000,237,1729.95780590717,1
"528",77064,0,74,0,2
"529",77065,0,37,0,5
"530",77066,1321824125.175,409,3231843.82683374,6
"531",77067,0,15121,0,3
"532",77068,0,10,0,1
"533",77069,1160814,945,1228.3746031746,3
"534",77070,3649008.75,30,121633.625,5
"535",77071,0,1049,0,6
"536",77072,0,526,0,3
"537",77073,0,126,0,1
"538",77074,21851352.5,130,168087.326923077,4
"539",77075,12442394.8,446,27897.7461883408,2
"540",77076,14413300,7,2059042.85714286,1
"541",77077,0,61,0,2
"542",77078,9385783.35,4,2346445.8375,5
"543",77079,1660301.2,744,2231.5876344086,2
"544",77080,0,33,0,2
"545",77081,0,3,0,1
"546",77082,0,17,0,4
"547",77083,2191540,131,16729.3129770992,4
"548",77084,0,435,0,3
"549",77085,0,1736,0,4
"550",77086,0,248,0,4
"551",77087,0,28,0,1
"552",77088,12682042,12,1056836.83333333,5
"553",77089,20161956.95,4000,5040.4892375,3
"554",77090,30174995,46,655978.152173913,7
"555",77091,956374840,473,2021934.12262156,4
"556",77092,0,1432,0,1
"557",77093,5254151.05,1669,3148.08331336129,3
"558",77094,116000,661,175.491679273828,2
"559",77095,25606649.75,84,304841.068452381,2
"560",77096,40396223.95,128,315595.499609375,4
"561",77097,2337796.6,829,2820.02002412545,6
"562",77098,119200.2,322,370.186956521739,2
"563",77099,1591115,3,530371.666666667,5
"564",77100,0,312,0,4
"565",77101,0,151,0,3
"566",77102,0,108,0,1
"567",77103,0,22,0,1
"568",77104,1381322596.65,0,0,5
"569",77105,0,364,0,1
"570",77106,0,2,0,2
"571",77107,0,10,0,1
"572",77108,386715.55,3754,103.01426478423,3
"573",77109,7407500,19,389868.421052632,4
"574",77110,0,271,0,2
"575",77111,17730458.25,136,130371.016544118,4
"576",77112,1356629,505,2686.39405940594,5
"577",77113,25396200,745,34088.8590604027,2
"578",77114,176782471.15,442,399960.341968326,7
"579",77115,0,2438,0,2
"580",77116,39213066.5,1,39213066.5,7
"581",77117,468650,1370,342.080291970803,3
"582",77118,2976251.05,864,3444.73501157407,4
"583",77119,0,421,0,6
"584",77120,0,127,0,1
"585",77121,0,1,0,2
"586",77122,0,106,0,1
"587",77123,0,48,0,2
"588",77124,0,2,0,1
"589",77125,0,0,0,4
"590",77126,0,128,0,1
"591",77127,253675,6,42279.1666666667,4
"592",77128,0,500,0,4
"593",77129,452000,119,3798.31932773109,2
"594",77130,7214174.8,279,25857.2573476702,6
"595",77131,3735000,81,46111.1111111111,3
"596",77132,54436424.5,1247,43653.9089815557,8
"597",77133,0,1328,0,2
"598",77134,0,10,0,2
"599",77135,0,113,0,4
"600",77136,0,18,0,2
"601",77137,0,111,0,1
"602",77138,0,104,0,1
"603",77139,52500,302,173.841059602649,4
"604",77140,0,22,0,6
"605",77141,0,312,0,2
"606",77142,0,4,0,3
"607",77143,5457.5,6,909.583333333333,5
"608",77144,950000,27,35185.1851851852,5
"609",77145,75163113.1,540,139190.950185185,2
"610",77146,14204056.45,2437,5828.50080016414,3
"611",77147,0,58,0,2
"612",77148,0,5,0,2
"613",77149,23650,85,278.235294117647,3
"614",77150,0,38,0,2
"615",77151,15698500,17,923441.176470588,5
"616",77152,0,2413,0,2
"617",77153,2508759.35,4,627189.8375,7
"618",77154,0,449,0,4
"619",77155,0,568,0,6
"620",77156,1208854.55,151,8005.65927152318,6
"621",77157,0,1223,0,2
"622",77158,6229550,4,1557387.5,2
"623",77159,69683650,71,981459.85915493,5
"624",77160,9500,1071,8.87021475256769,1
"625",77161,0,38,0,2
"626",77162,6180,2,3090,5
"627",77163,0,60,0,6
"628",77164,10147984.1,241,42107.8178423237,8
"629",77165,2729000,1323,2062.73620559335,6
"630",77166,2575753.195,271,9504.62433579336,5
"631",77167,58330238,1066,54718.7973733583,5
"632",77168,458552844.8,1446,317118.149930844,4
"633",77169,1875390.1,95,19740.9484210526,3
"634",77170,243366806.8,73,3333791.8739726,8
"635",77171,5512887.05,3061,1801.00851029075,6
"636",77172,0,508,0,5
"637",77173,0,362,0,3
"638",77174,5110398.95,3,1703466.31666667,7
"639",77175,53212124.7585,722,73701.0038206371,4
"640",77176,131052861.55,2083,62915.4400144023,6
"641",77177,0,2269,0,1
"642",77178,0,21,0,3
"643",77179,0,14,0,1
"644",77180,0,10,0,1
"645",77181,1866600,62,30106.4516129032,6
"646",77182,39600000,1102,35934.664246824,4
"647",77183,3932650,550,7150.27272727273,6
"648",77184,0,797,0,2
"649",77185,15200,2,7600,6
"650",77186,0,190,0,2
"651",77187,0,3,0,5
"652",77188,0,44,0,1
"653",77189,0,607,0,1
"654",77190,227131027.3,144,1577298.80069444,3
"655",77191,0,3559,0,1
"656",77192,0,3,0,1
"657",77193,0,320,0,2
"658",77194,0,2,0,1
"659",77195,0,4,0,3
"660",77196,0,3,0,3
"661",77197,0,8,0,1
"662",77198,4938200,103,47943.6893203884,2
"663",77199,0,402,0,1
"664",77200,35373000,136,260095.588235294,7
"665",77201,0,1832,0,2
"666",77202,1205248,2,602624,4
"667",77203,0,59,0,2
"668",77204,0,2,0,3
"669",77205,846350,432,1959.14351851852,6
"670",77206,0,1086,0,3
"671",77207,0,106,0,4
"672",77208,0,63,0,1
"673",77209,1050000,0,0,5
"674",77210,260700,428,609.11214953271,4
"675",77211,137082649.25,133,1030696.61090226,3
"676",77212,78094200,527,148186.337760911,2
"677",77213,2668487.7,1643,1624.15562994522,5
"678",77214,0,486,0,3
"679",77215,17483486.75,11,1589407.88636364,3
"680",77216,1235,387,3.19121447028424,4
"681",77217,559950,40,13998.75,6
"682",77218,0,256,0,1
"683",77219,0,417,0,4
"684",77220,886350,56,15827.6785714286,2
"685",77221,0,248,0,1
"686",77222,0,1,0,4
"687",77223,141900,103,1377.66990291262,1
"688",77224,21236624.55,105,202253.567142857,7
"689",77225,16158300,453,35669.5364238411,4
"690",77226,76000,825,92.1212121212121,4
"691",77227,2922550,322,9076.24223602485,5
"692",77228,0,712,0,2
"693",77229,1064604081.7,107,9949570.85700935,3
"694",77230,0,62,0,1
"695",77231,0,10,0,6
"696",77232,485545,687,706.761280931587,2
"697",77233,0,3,0,1
"698",77234,13466904.9,539,24984.9812615955,4
"699",77235,0,1106,0,1
"700",77236,18878889,4,4719722.25,7
"701",77237,11245200,316,35586.0759493671,5
"702",77238,0,1796,0,4
"703",77239,0,131,0,1
"704",77240,0,172,0,2
"705",77241,4750,504,9.42460317460317,2
"706",77242,1493423.55,30,49780.785,6
"707",77243,0,37,0,1
"708",77244,0,3,0,1
"709",77245,0,209,0,3
"710",77246,0,517,0,4
"711",77247,0,265,0,1
"712",77248,63662300,67,950183.582089552,4
"713",77249,0,2281,0,1
"714",77250,8446.45,2,4223.225,2
"715",77251,19850044.3,8,2481255.5375,1
"716",77252,0,194,0,2
"717",77253,0,110,0,1
"718",77254,295197.7655,0,0,2
"719",77255,426250,4,106562.5,5
"720",77256,12600,364,34.6153846153846,5
"721",77257,3343500,83,40283.1325301205,6
"722",77258,0,852,0,3
"723",77259,36750,13,2826.92307692308,4
"724",77260,0,313,0,7
"725",77261,0,43,0,1
"726",77262,0,33,0,2
"727",77263,3002383.65,186,16141.8475806452,3
"728",77264,7320150,473,15476.0042283298,2
"729",77265,0,411,0,3
"730",77266,3700,577,6.41247833622184,5
"731",77267,3763377.5,11,342125.227272727,2
"732",77268,168000,689,243.831640058055,6
"733",77269,6583350,222,29654.7297297297,4
"734",77270,0,304,0,1
"735",77271,0,269,0,1
"736",77272,0,6,0,5
"737",77273,0,99,0,5
"738",77274,0,469,0,1
"739",77275,19708643.6,8,2463580.45,3
"740",77276,0,592,0,3
"741",77277,0,210,0,2
"742",77278,10504310,4257,2467.53817242189,3
"743",77279,0,287,0,1
"744",77280,0,1,0,1
"745",77281,126281855.95,12,10523487.9958333,4
"746",77282,0,2682,0,4
"747",77283,5397543.05,53,101840.43490566,4
"748",77284,8280500,978,8466.76891615542,6
"749",77285,13714556.05,941,14574.448512221,4
"750",77286,2592000,199,13025.1256281407,5
"751",77287,2321805.4,514,4517.13112840467,2
"752",77288,0,50,0,4
"753",77289,0,24,0,3
"754",77290,0,365,0,4
"755",77291,2933750,42,69851.1904761905,8
"756",77292,19227815.35,2913,6600.69184689324,6
"757",77293,4114507.35,790,5208.23715189873,4
"758",77294,5294940.35,62,85402.2637096774,5
"759",77295,4237127.5,454,9332.87995594714,5
"760",77296,0,386,0,1
"761",77297,0,0,0,3
"762",77298,65936933.85,14,4709780.98928571,5
